id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
004f124b-a17a-4c06-b220-b80c4b80dd6d,equals.pink,available,14.99,,62,10,6,name.com,,
006d4b41-73dc-4da4-9ab8-c6a14f41f488,steponit.pink,available,14.99,,75,2,10,name.com,,
0072bad7-bf62-46b1-ad9f-355911e44bc3,Sundays.pink,available,31.48,,61,17,7,namecheap,,
00af81af-ace3-4ada-add5-cafe866dd8ff,pencils.pink,available,14.99,,50,5,7,name.com,,
00db5b4e-b138-4ce8-af03-16db9595c862,havenobusiness.pink,available,14.99,,60,1,16,name.com,,
00e801bc-834e-4873-9aff-b90c0eef781c,reports.pink,available,14.99,,58,24,7,name.com,,
00fc01c5-c337-4dea-a438-30b9ac901e11,approaches.pink,available,14.99,,70,3,10,name.com,,
01079795-258c-4776-ba96-53bf0a7ffe36,flips.pink,available,14.99,,52,12,5,name.com,,
010b579e-477a-42ba-9a38-7c349ba005d0,keepupwith.pink,available,14.99,,76,2,12,name.com,,
011aaf70-add0-4f7f-b2fa-ea2d2fbf807c,hills.pink,available,14.99,,65,20,5,name.com,,
0124f30a-7adf-4c50-85df-98ac6aeb1e80,datafeed.pink,available,14.99,,70,7,9,name.com,,
012ca553-2d87-425d-864b-6ae48a86d295,barbecuesauce.pink,available,14.99,,76,2,14,name.com,,
0140b96c-62fa-43a0-9806-4bc3acd1b986,believed.pink,available,14.99,,64,3,8,name.com,,
0148dc3f-e3fc-4031-814e-adc8d8a4d18f,keepstraight.pink,available,14.99,,62,1,13,name.com,,
0158f06f-7166-4156-bcde-3c1c4aa43c5b,righted.pink,available,14.99,,55,2,7,name.com,,
01906d31-cabc-4782-b31c-732c98ff4e1d,agreements.pink,available,14.99,,54,6,10,name.com,,
01a5ab48-1362-4edf-b853-3b2d0f568cc5,chairs.pink,available,14.99,,54,11,6,name.com,,
01a9cc6d-acf2-44d3-a2da-13ca503b0903,leaveover.pink,available,14.99,,70,0,10,name.com,,
01c4af77-350f-4f0a-b940-1839ad13f098,setinstone.pink,available,14.99,,68,4,12,name.com,,
01d534d7-8da9-4fe8-b9e2-4477c5b81c42,makeof.pink,available,14.99,,76,1,7,name.com,,
01f25f63-3970-4424-8d6c-f69535090218,letoneoff.pink,available,14.99,,77,0,11,name.com,,
022289eb-4b6b-4c6c-92d3-bf9923874c4a,givearing.pink,available,14.99,,52,1,11,name.com,,
0233648e-9018-45ed-84ad-afbd6ef07f9e,softsell.pink,available,14.99,,72,3,9,name.com,,
0234c903-228a-486f-827c-d2466e741ad3,strikeablow.pink,available,14.99,,70,1,13,name.com,,
025687bf-bb1c-4200-b41e-9aaa77ee47d8,tillers.pink,available,14.99,,51,3,7,name.com,,
025ac49d-036e-4837-91b9-80cd425f72ce,pantihose.pink,available,14.99,,70,2,9,name.com,,
025afcfe-83d2-4118-9bc9-62fcff565725,flightattendants.pink,available,14.99,,40,2,17,name.com,,
025f3a40-3e93-4253-b29f-73441e205710,VirginiaBeach.pink,premium,700,700,58,9,14,namecheap,,
02651927-beff-466b-bc0f-9b16db64c4d6,letpast.pink,available,14.99,,75,0,8,name.com,,
026867df-a66e-45ab-9207-9956a4f2d47c,pitchdark.pink,available,14.99,,55,2,10,name.com,,
02698591-36e2-4998-ad7b-b054b20a9ac8,secondyear.pink,available,14.99,,66,1,11,name.com,,
029b5ce2-fa73-4f78-92d8-78e5a3f36a89,smashandgrab.pink,available,14.99,,48,2,14,name.com,,
029f9c01-3294-4f8e-978f-b613450bda8a,gofar.pink,available,14.99,,76,9,6,name.com,,
02a5f9a9-60e7-4d95-a37b-225c9de7503a,brands.pink,premium,625,,62,28,6,name.com,,
02a7c7f2-b6ea-4b3b-8e04-0b3941a2e851,softenup.pink,available,14.99,,68,0,9,name.com,,
02b376f3-5da6-4525-ab27-4714c7d81804,keepittogether.pink,available,14.99,,68,2,16,name.com,,
02c124de-7bd8-47ff-a979-4b048b9e8909,disobedience.pink,available,14.99,,64,3,12,name.com,,
02c1decd-d84f-4a77-81e6-b797748d2e8c,switches.pink,available,14.99,,58,7,8,name.com,,
02ca749f-0a92-485c-863b-0787ec5f2a47,cliponmicrophone.pink,available,14.99,,48,1,18,name.com,,
02d5052d-bb9d-4cf6-876b-57bd76b3bf6e,brainwaves.pink,available,14.99,,56,8,10,name.com,,
02eeec39-e37f-452a-a057-127b0691b738,sneezes.pink,available,14.99,,50,2,7,name.com,,
034d8d85-c4e5-4ca1-84a5-8577e02d0011,reckoned.pink,available,14.99,,50,1,8,name.com,,
0358fc4d-4d05-47a1-a8d5-bed1360c56bf,natives.pink,available,14.99,,56,9,7,name.com,,
037ed2ee-cd69-46fa-a4b8-b1c3e92ce378,requests.pink,available,14.99,,56,10,8,name.com,,
03839c82-818a-4c1b-8416-db30385a3eb1,dont.pink,available,14.99,,42,18,4,name.com,,
038d24d2-938b-4c2f-823a-ae4b9afb4b49,semifinal.pink,available,14.99,,72,2,10,name.com,,
03ddec4d-b266-4016-ac36-e9c09e98d185,screenshots.pink,available,14.99,,49,9,11,name.com,,
03ebe83f-41ec-4236-af87-4a392527ffc8,trucks.pink,premium,82.5,,55,19,6,name.com,,
03f4648b-52da-434d-9571-3021823fa635,highschools.pink,available,14.99,,65,4,12,name.com,,
